band,species,blength,bdepth,year
21259,fortis,10.7,8.1,2012
21261,fortis,9.4,7.3,2012
21262,fortis,10.1,8,2012
21265,fortis,11.8,10.2,2012
21266,fortis,12.2,11.1,2012
21272,fortis,12.9,9.9,2012
21273,fortis,10.1,8.7,2012
21276,fortis,10.1,8.3,2012
21277,fortis,9,7.8,2012
21282,fortis,11.7,9.9,2012
21283,fortis,10.9,10.3,2012
21287,fortis,10.4,8.4,2012
21293,fortis,12.7,8.7,2012
21294,fortis,10.5,9.8,2012
21296,fortis,9.6,8.7,2012
21298,fortis,10.6,9,2012
21299,fortis,10.4,7.8,2012
21341,fortis,10.5,8.5,2012
21343,fortis,10.1,8.2,2012
21349,fortis,10.6,9.2,2012
22000,fortis,10.6,9,2012
19026,scandens,14.3,9.4,2012
19028,scandens,12.5,8.9,2012
19029,scandens,13.7,9.5,2012
19094,scandens,13.8,11,2012
19122,scandens,12,8.7,2012
19125,scandens,13,8.4,2012
19129,scandens,13,9.1,2012
19172,scandens,13.6,8.7,2012
19182,scandens,12.8,10.2,2012
19212,scandens,13.6,9.6,2012
19214,scandens,12.95,8.85,2012
19244,scandens,13.1,8.8,2012
19251,scandens,13.4,9.5,2012
19260,scandens,13.9,9.2,2012
19270,scandens,12.3,9,2012
19278,scandens,14,9.8,2012
19289,scandens,12.5,9.3,2012
19299,scandens,12.3,9,2012
19312,scandens,13.9,10.2,2012
19326,scandens,13.1,7.7,2012
19343,scandens,12.5,9,2012
19374,scandens,13.9,9.5,2012
19401,scandens,13.7,9.4,2012
19406,scandens,12,8,2012
19408,scandens,14.4,8.9,2012
19426,scandens,13.5,9.4,2012
19430,scandens,13.8,9.5,2012
19433,scandens,13,8,2012
19438,scandens,14.9,10,2012
19452,scandens,12.5,8.95,2012
19466,scandens,12.3,8.2,2012
19469,scandens,12.8,8.8,2012
19486,scandens,13.4,9.2,2012
19492,scandens,13.8,9.4,2012
19493,scandens,13.5,9.5,2012
19494,scandens,13.5,8.1,2012
19495,scandens,13.4,9.5,2012
19496,scandens,12.3,8.4,2012
19497,scandens,14.35,9.3,2012
19510,scandens,13.2,9.3,2012
19513,scandens,13.8,9.6,2012
19518,scandens,14.6,9.2,2012
19526,scandens,14.3,10,2012
19527,scandens,13.8,8.9,2012
19528,scandens,13.6,10.5,2012
19543,scandens,12.9,8.9,2012
19553,scandens,13,8.6,2012
19554,scandens,13.5,8.8,2012
19573,scandens,13.2,9.15,2012
19592,scandens,13.7,9.5,2012
19594,scandens,13.1,9.1,2012
19597,scandens,13.2,10.2,2012
19598,scandens,12.6,8.4,2012
19599,scandens,13,10,2012
19619,scandens,13.9,10.2,2012
19622,scandens,13.2,9.3,2012
19652,scandens,15,10.8,2012
19653,scandens,13.37,8.3,2012
19664,scandens,11.4,7.8,2012
19692,scandens,13.8,9.8,2012
19720,scandens,13,7.9,2012
19740,scandens,13,8.9,2012
19747,scandens,13.1,7.7,2012
19766,scandens,12.8,8.9,2012
19783,scandens,13.3,9.4,2012
19844,scandens,13.5,9.4,2012
19848,scandens,12.4,8.5,2012
19852,scandens,13.1,8.5,2012
19854,scandens,14,9.6,2012
19855,scandens,13.5,10.2,2012
19868,scandens,11.8,8.8,2012
19882,scandens,13.7,9.5,2012
19900,scandens,13.2,9.3,2012
19910,scandens,12.2,9,2012
19936,scandens,13,9.2,2012
19940,scandens,13.1,8.7,2012
19941,scandens,14.7,9,2012
19951,scandens,13.7,9.1,2012
19955,scandens,13.5,8.7,2012
19956,scandens,13.3,9.4,2012
21040,scandens,14.1,9.8,2012
21041,scandens,12.5,8.6,2012
21045,scandens,13.7,10.6,2012
21047,scandens,14.6,9,2012
21053,scandens,14.1,9.5,2012
21057,scandens,12.9,8.1,2012
21070,scandens,13.9,9.3,2012
21081,scandens,13.4,9.6,2012
21092,scandens,13,8.5,2012
21093,scandens,12.7,8.2,2012
21106,scandens,12.1,8,2012
21109,scandens,14,9.5,2012
21111,scandens,14.9,9.7,2012
21113,scandens,13.9,9.9,2012
21131,scandens,12.9,9.1,2012
21135,scandens,14.6,9.5,2012
21136,scandens,14,9.8,2012
21159,scandens,13,8.4,2012
21167,scandens,12.7,8.3,2012
21176,scandens,14,9.6,2012
21248,scandens,14.1,9.4,2012
21253,scandens,14.1,10,2012
21255,scandens,13,8.9,2012
21256,scandens,13.5,9.1,2012
21257,scandens,13.4,9.8,2012
21260,scandens,13.9,9.3,2012
21263,scandens,13.1,9.9,2012
21267,scandens,12.9,8.9,2012
21268,scandens,14,8.5,2012
21270,scandens,14,10.6,2012
21271,scandens,14.1,9.3,2012
21278,scandens,14.7,8.9,2012
21279,scandens,13.4,8.9,2012
21280,scandens,13.8,9.7,2012
21281,scandens,13.4,9.8,2012
21285,scandens,13.8,10.5,2012
21286,scandens,12.4,8.4,2012
21288,scandens,14.1,10,2012
21289,scandens,12.9,9,2012
21290,scandens,13.9,8.7,2012
21291,scandens,14.3,8.8,2012
21292,scandens,13.2,8.4,2012
21295,scandens,14.2,9.3,2012
21297,scandens,13,9.8,2012
21340,scandens,14.6,8.9,2012
21342,scandens,13.1,9.8,2012
21347,scandens,15.2,9.1,2012
